task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
58	80/f1b145	72508	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2024-05-21 13:09:31.021	3.5s	1.5s	308.8%	54.9 MB	2.6 GB	4.7 MB	4.6 MB
59	a7/0314e2	72733	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2024-05-21 13:09:34.551	3.7s	1.6s	309.0%	85 MB	2.9 GB	7.5 MB	7.4 MB
60	fc/706577	72946	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2024-05-21 13:09:38.273	20.3s	18.2s	260.8%	736.4 MB	2.9 GB	33 MB	32.8 MB
61	ec/65ebc1	73617	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2024-05-21 13:09:58.641	3.2s	1.1s	297.2%	61.2 MB	2.6 GB	5.3 MB	5.1 MB
63	65/95e5b7	73777	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5556343)	COMPLETED	0	2024-05-21 13:10:01.832	2.8s	610ms	158.8%	7 MB	224.9 MB	7.4 MB	6.3 KB
62	e4/5eeba0	73940	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5556343)	COMPLETED	0	2024-05-21 13:10:04.632	31.7s	29.1s	213.7%	151.7 MB	228.9 MB	113.3 MB	105.9 MB
64	ba/140b65	75079	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2024-05-21 13:10:36.371	3.4s	530ms	117.1%	7.1 MB	224.9 MB	4.7 MB	6.3 KB
65	2c/da893e	75237	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5743893)	COMPLETED	0	2024-05-21 13:10:39.822	28.4s	25.8s	194.6%	84.1 MB	128.9 MB	71.9 MB	67.2 MB
66	bf/be37fc	76258	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2024-05-21 13:11:08.198	3.1s	511ms	130.1%	7.2 MB	160.9 MB	7.6 MB	6.3 KB
67	9d/fc2dcf	76406	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5405022)	COMPLETED	0	2024-05-21 13:11:11.315	21.8s	19.2s	205.6%	78.8 MB	123.5 MB	60 MB	52.3 MB
